C[C@]1(C(=O)c2ccc3ccccc3c2)CCCO1,6.6,8.788141250610352
O=C([O-])[C@H]1CCCN(c2ncccn2)C1,7.2,10.686241388320923
Cc1ccc(NC(=O)c2ccnc(Cl)c2)cc1Br,5.2,15.339025735855103
Cc1ccc(-c2nc3cccc(Cl)c3s2)cc1N,1.8,21.10969114303589
Cc1cccc(NC(=O)[C@@H](C)NC(=O)OC(C)(C)C)n1,3.7,22.191717624664307
O=C(NCCCO)Nc1cccc(F)c1,6.6,23.79675579071045
Cn1ncnc1CCNc1cncc(Br)c1,7.3,24.181283473968506
Cc1cc(F)cc(N[C@@H]2CCC[C@@H]2S(C)(=O)=O)c1,5.7,29.549291133880615
CCS(=O)(=O)c1ccccc1C(=O)N1CCO[C@H](C)C1,2.0,36.58008074760437
CC1(C)CCC(C(=O)[O-])(C2CCCCC2)CC1,5.2,38.61756229400635
C[C@@H]([NH2+]C1CCN(S(C)(=O)=O)CC1)c1ccccc1,4.9,42.621620416641235
Cn1ccc(-c2noc([C@@H]3Cc4[nH+]c[nH]c4CN3)n2)n1,4.2,46.14487838745117
C[C@H]1CN(C(=O)/C=C/c2cccc([N+](=O)[O-])c2)C[C@H](C)O1,5.6,49.58441877365112
CCCOc1ccccc1NC(=O)c1coc(Br)c1,3.8,49.88256359100342
O=c1[nH]cnc(Oc2ccccc2)c1[N+](=O)[O-],7.4,42.16303277015686
CC(C)[C@H](Oc1cccc(Cl)c1)C(=O)NNC(=O)c1cn[nH]n1,6.2,61.210119009017944
C[NH2+][C@@]1(CO)CCC[C@@H](Oc2ccccc2C)C1,6.8,62.579761266708374
Nc1c(C(=O)c2cccs2)sc2nsc(SCC[NH+]3CCCCC3)c12,-0.8,65.00999808311462
O=C(NCC1CCN(S(=O)(=O)C2CC2)CC1)OCc1ccccc1,4.6,66.14407658576965
Cc1cc(C[N@@H+]2CCCC[C@H]2c2nc3ccccc3s2)no1,2.1,69.7487428188324
Cc1cc([C@@H](C)NC(=O)N2CC[C@H]([NH+]3CCCC3)C2)cc(C)c1F,1.5,72.04980850219727
CC[C@@H]1CCCCN1C(=O)Nc1ccc(C(N)=O)c(F)c1,3.1,74.35196614265442
Cc1nc2ccc(C(=O)N3CCO[C@@H](Cc4ccccc4)C3)cc2nc1C,-11.3,76.3924491405487
CCc1ccccc1NC(=O)N[C@H](C)C(=O)N1CCCC[C@@H]1C,4.2,77.30769038200378
C[C@@H](Sc1cc2c(cc1Cl)OCCO2)C(=O)Nc1cccnc1Cl,4.5,84.11845922470093
c1cncc(-c2nc(N3CCCC3)c3c4c(sc3n2)CCCC4)c1,2.4,67.28247904777527
COC(=O)C(C)(C)C(C)(C)[NH2+]C1CCCC1,5.9,88.73689150810242
